Индекс Мосбиржи; IMOEX; 2.307,50; +9,61; +0,42%; https://ru.investing.com/indices/mcx; 
РТС; IRTS; 1.132,23; -7,82; -0,69%; https://ru.investing.com/indices/rtsi; 
Сбербанк; SBER; 120,20; +1,05; +0,88%; https://ru.investing.com/equities/sberbank_rts; 
Газпром; GAZP; 235,52; +4,96; +2,15%; https://ru.investing.com/equities/gazprom_rts; 
Норникель; GMKN; 21.200,0; -38,0; -0,18%; https://ru.investing.com/equities/gmk-noril-nickel_rts; 
Нефть Brent; LCO; 110,84; +3,39; +3,15%; https://ru.investing.com/commodities/brent-oil; 
USD/RUB; RUBFIX=RTS; 64,5450; +1,2450; +1,97%; https://ru.investing.com/currencies/usd-rub; 
S&P 500; US500; 4.030,08; +100,00; +2,54%; https://ru.investing.com/indices/us-spx-500; 
Золото; ZG; 1.810,57; -14,03; -0,77%; https://ru.investing.com/commodities/gold; 
Нефть WTI; T; 109,91; +3,78; +3,56%; https://ru.investing.com/commodities/crude-oil; 
Tesla; TSLA; 780,34; +52,34; +7,19%; https://ru.investing.com/equities/tesla-motors; 
